HOUSEHOLD INFO: Latitude	HOUSEHOLD INFO: Longitude
0.519959	-1.665311
0.519505	-1.667042
0.519312	-1.66705
0.519312	-1.66705
0.519592	-1.667075
0.519444	-1.667065
0.51969	-1.66707
0.51969	-1.66707
0.51969	-1.66707
0.5197	-1.667075
0.519677	-1.667069
0.519497	-1.667079
0.519895	-1.667099
0.51948	-1.667969
0.519565	-1.667103
0.519677	-1.667117
0.519677	-1.667117
0.51972	-1.667125
0.51972	-1.667125
0.518656	-1.668185
0.519564	-1.666604
0.519564	-1.666604
0.519564	-1.666604
0.519564	-1.666604
0.519325	-1.667101
0.519455	-1.667137
0.519455	-1.667137
0.519325	-1.667115
0.519325	-1.667115
0.519375	-1.667169
0.519571	-1.667149
0.519571	-1.667149
0.519346	-1.667197
0.519346	-1.667197
0.519412	-1.667194
0.519412	-1.667194
0.519412	-1.667194
0.516146	-1.665044
0.516146	-1.665044
0.516146	-1.665044
0.519555	-1.667193
0.519555	-1.667193
0.519555	-1.667193
0.519235	-1.668232
0.519235	-1.668232
0.519529	-1.667207
0.519412	-1.66722
0.51941	-1.66724
0.51941	-1.66724
0.51941	-1.66724
0.519319	-1.6664
0.519566	-1.667219
0.519327	-1.667247
0.519327	-1.667247
0.519581	-1.667249
0.519513	-1.667297
0.519484	-1.667954
0.519644	-1.667358
0.519316	-1.668345
0.515906	-1.665128
0.515906	-1.665128
0.519612	-1.667401
0.519456	-1.667431
0.519459	-1.667412
0.517352	-1.665102
0.519487	-1.667438
0.519481	-1.667447
0.518761	-1.664952
0.518761	-1.664952
0.519312	-1.668392
0.519312	-1.668392
0.51951	-1.667465
0.51951	-1.667465
0.51951	-1.667465
